,doc_id,premise,hypothesis,label,premise_count,hypothesis_count
0,0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,1,14,12
1,1,A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.",2,14,9
2,2,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.",0,14,8
3,3,Children smiling and waving at camera,They are smiling at their parents,1,20,10
4,4,Children smiling and waving at camera,There are children present,0,20,344
5,5,Children smiling and waving at camera,The kids are frowning,2,20,8
6,6,A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,2,1,3
7,7,A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,0,1,2
8,8,A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,1,1,2
9,9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,1,1,0
10,10,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,A boy flips a burger.,2,1,0
11,11,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An elderly man sits in a small shop.,1,1,0
12,12,Two blond women are hugging one another.,Some women are hugging on vacation.,1,1,0
13,13,Two blond women are hugging one another.,The women are sleeping.,2,1,0
14,14,Two blond women are hugging one another.,There are women showing affection.,0,1,0
15,15,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,1,1,0
16,16,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are sitting at desks in school.,2,1,0
17,17,"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,0,1,0
18,18,An older man is drinking orange juice at a restaurant.,A man is drinking juice.,0,0,0
19,19,An older man is drinking orange juice at a restaurant.,Two women are at a restaurant drinking wine.,2,0,0
20,20,An older man is drinking orange juice at a restaurant.,A man in a restaurant is waiting for his meal to arrive.,1,0,0
21,21,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,1,0,0
22,22,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man wearing a brown shirt is reading a book on a bench in the park,2,0,0
23,23,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,0,0,0
24,24,Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,2,0,0
25,25,Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,0,0,0
26,26,Two women who just had lunch hugging and saying goodbye.,"The friends have just met for the first time in 20 years, and have had a great time catching up.",1,0,0
27,27,"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",1,0,0
28,28,"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,2,0,0
29,29,"Two women, holding food carryout containers, hug.",Two women hug each other.,0,0,0
30,30,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,1,0,0
